algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,RANDOM,3,8282908,8.282908,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,RANDOM,3,10810890,10.810890,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,RANDOM,3,13998581,13.998581,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,RANDOM,4,270678,0.270678,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,RANDOM,4,9883895,9.883895,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,RANDOM,4,9771046,9.771046,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,RANDOM,4,11412274,11.412274,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,RANDOM,4,14189358,14.189358,true
SelectionSortSerial,SelectionSort,SERIAL,1,1000,RANDOM,5,316721,0.316721,true
SelectionSortParallel,SelectionSort,PARALLEL,2,1000,RANDOM,5,9165013,9.165013,true
SelectionSortParallel,SelectionSort,PARALLEL,4,1000,RANDOM,5,9215449,9.215449,true
SelectionSortParallel,SelectionSort,PARALLEL,8,1000,RANDOM,5,10187889,10.187889,true
SelectionSortParallel,SelectionSort,PARALLEL,16,1000,RANDOM,5,15611161,15.611161,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,RANDOM,1,1155160,1.155160,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,RANDOM,1,19321542,19.321542,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,RANDOM,1,15523969,15.523969,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,RANDOM,1,21307444,21.307444,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,RANDOM,1,24729959,24.729959,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,RANDOM,2,862903,0.862903,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,RANDOM,2,13828633,13.828633,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,RANDOM,2,13261487,13.261487,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,RANDOM,2,28507837,28.507837,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,RANDOM,2,32964162,32.964162,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,RANDOM,3,879606,0.879606,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,RANDOM,3,13870782,13.870782,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,RANDOM,3,16873853,16.873853,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,RANDOM,3,19700801,19.700801,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,RANDOM,3,23328173,23.328173,true
SelectionSortSerial,SelectionSort,SERIAL,1,2000,RANDOM,4,880510,0.880510,true
SelectionSortParallel,SelectionSort,PARALLEL,2,2000,RANDOM,4,15723889,15.723889,true
SelectionSortParallel,SelectionSort,PARALLEL,4,2000,RANDOM,4,15181534,15.181534,true
SelectionSortParallel,SelectionSort,PARALLEL,8,2000,RANDOM,4,19469735,19.469735,true
SelectionSortParallel,SelectionSort,PARALLEL,16,2000,RANDOM,4,44256850,44.256850,true
