algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms_parallel,std_time_ms,samples,mean_time_ms_serial,speedup,efficiency
MergeSortParallel,MergeSort,PARALLEL,2,500000,REVERSED,9.7187228,1.2848442441032304,5,13.8362584,1.423670443610142,0.711835221805071
MergeSortParallel,MergeSort,PARALLEL,2,500000,SORTED,9.254346,1.9663928767961145,5,13.246366,1.4313670571642771,0.7156835285821386
MergeSortParallel,MergeSort,PARALLEL,4,10000,NEARLY_SORTED,1.0684676,0.31976459233207805,5,0.7455314,0.6977576109935387,0.17443940274838468
MergeSortParallel,MergeSort,PARALLEL,4,10000,RANDOM,1.9185033999999999,1.7626537530121449,5,1.1984166,0.6246622236895698,0.15616555592239245
MergeSortParallel,MergeSort,PARALLEL,4,10000,REVERSED,0.4727754,0.08876745020163639,5,0.2891804,0.6116654969780576,0.1529163742445144
MergeSortParallel,MergeSort,PARALLEL,4,10000,SORTED,0.4529432,0.03969379189117614,5,0.1966132,0.43407915164638744,0.10851978791159686
MergeSortParallel,MergeSort,PARALLEL,4,50000,NEARLY_SORTED,1.738986,0.47451101612976276,5,2.8601466,1.6447208890698375,0.41118022226745937
MergeSortParallel,MergeSort,PARALLEL,4,50000,RANDOM,2.8244508,0.487758547405066,5,5.939388599999999,2.1028472508708593,0.5257118127177148
MergeSortParallel,MergeSort,PARALLEL,4,50000,REVERSED,1.3411804,0.3309514825518991,5,2.4559781999999997,1.8312064506758372,0.4578016126689593
MergeSortParallel,MergeSort,PARALLEL,4,50000,SORTED,0.9035204,0.03806429512417115,5,1.215257,1.3450244178216673,0.3362561044554168
MergeSortParallel,MergeSort,PARALLEL,4,100000,NEARLY_SORTED,2.47945,0.485657050474921,5,5.3020548000000005,2.1383995644195286,0.5345998911048822
MergeSortParallel,MergeSort,PARALLEL,4,100000,RANDOM,5.787948399999999,1.9048229278676536,5,11.3354494,1.9584572315814013,0.4896143078953503
MergeSortParallel,MergeSort,PARALLEL,4,100000,REVERSED,1.5386844,0.20749342440978696,5,2.8088851999999997,1.8255109364857405,0.4563777341214351
MergeSortParallel,MergeSort,PARALLEL,4,100000,SORTED,1.4851342,0.27718690237311,5,2.738219,1.8437518979766272,0.4609379744941568
MergeSortParallel,MergeSort,PARALLEL,4,500000,NEARLY_SORTED,8.015608799999999,1.7957413216961953,5,15.867114599999999,1.9795270697342418,0.49488176743356044
MergeSortParallel,MergeSort,PARALLEL,4,500000,RANDOM,19.9783744,2.547797192313155,5,54.0652544,2.706188867899082,0.6765472169747705
MergeSortParallel,MergeSort,PARALLEL,4,500000,REVERSED,7.048291000000001,0.5523487600321016,5,13.8362584,1.9630657133764764,0.4907664283441191
MergeSortParallel,MergeSort,PARALLEL,4,500000,SORTED,6.5213202,0.82474095937858,5,13.246366,2.0312399320616095,0.5078099830154024
MergeSortParallel,MergeSort,PARALLEL,8,10000,NEARLY_SORTED,0.9816868,0.16149201955886242,5,0.7455314,0.7594391612477625,0.0949298951559703
MergeSortParallel,MergeSort,PARALLEL,8,10000,RANDOM,1.7682635999999998,1.193538477753985,5,1.1984166,0.677736396315572,0.0847170495394465
MergeSortParallel,MergeSort,PARALLEL,8,10000,REVERSED,0.499601,0.1556584459578085,5,0.2891804,0.578822700515011,0.07235283756437637
MergeSortParallel,MergeSort,PARALLEL,8,10000,SORTED,0.44738620000000007,0.028489625229195268,5,0.1966132,0.4394708643225919,0.05493385804032399
MergeSortParallel,MergeSort,PARALLEL,8,50000,NEARLY_SORTED,1.6083151999999998,0.3264887746105522,5,2.8601466,1.778349542428002,0.22229369280350025
