algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms,std_time_ms,samples
MergeSortParallel,MergeSort,PARALLEL,2,500000,RANDOM,30.1756792,1.5485577169643057,5
MergeSortParallel,MergeSort,PARALLEL,2,500000,REVERSED,9.7187228,1.2848442441032304,5
MergeSortParallel,MergeSort,PARALLEL,2,500000,SORTED,9.254346,1.9663928767961145,5
MergeSortParallel,MergeSort,PARALLEL,4,10000,NEARLY_SORTED,1.0684676,0.31976459233207805,5
MergeSortParallel,MergeSort,PARALLEL,4,10000,RANDOM,1.9185033999999999,1.7626537530121449,5
MergeSortParallel,MergeSort,PARALLEL,4,10000,REVERSED,0.4727754,0.08876745020163639,5
MergeSortParallel,MergeSort,PARALLEL,4,10000,SORTED,0.4529432,0.03969379189117614,5
MergeSortParallel,MergeSort,PARALLEL,4,50000,NEARLY_SORTED,1.738986,0.47451101612976276,5
MergeSortParallel,MergeSort,PARALLEL,4,50000,RANDOM,2.8244508,0.487758547405066,5
MergeSortParallel,MergeSort,PARALLEL,4,50000,REVERSED,1.3411804,0.3309514825518991,5
MergeSortParallel,MergeSort,PARALLEL,4,50000,SORTED,0.9035204,0.03806429512417115,5
MergeSortParallel,MergeSort,PARALLEL,4,100000,NEARLY_SORTED,2.47945,0.485657050474921,5
MergeSortParallel,MergeSort,PARALLEL,4,100000,RANDOM,5.787948399999999,1.9048229278676536,5
MergeSortParallel,MergeSort,PARALLEL,4,100000,REVERSED,1.5386844,0.20749342440978696,5
MergeSortParallel,MergeSort,PARALLEL,4,100000,SORTED,1.4851342,0.27718690237311,5
MergeSortParallel,MergeSort,PARALLEL,4,500000,NEARLY_SORTED,8.015608799999999,1.7957413216961953,5
MergeSortParallel,MergeSort,PARALLEL,4,500000,RANDOM,19.9783744,2.547797192313155,5
MergeSortParallel,MergeSort,PARALLEL,4,500000,REVERSED,7.048291000000001,0.5523487600321016,5
MergeSortParallel,MergeSort,PARALLEL,4,500000,SORTED,6.5213202,0.82474095937858,5
MergeSortParallel,MergeSort,PARALLEL,8,10000,NEARLY_SORTED,0.9816868,0.16149201955886242,5
MergeSortParallel,MergeSort,PARALLEL,8,10000,RANDOM,1.7682635999999998,1.193538477753985,5
MergeSortParallel,MergeSort,PARALLEL,8,10000,REVERSED,0.499601,0.1556584459578085,5
MergeSortParallel,MergeSort,PARALLEL,8,10000,SORTED,0.44738620000000007,0.028489625229195268,5
MergeSortParallel,MergeSort,PARALLEL,8,50000,NEARLY_SORTED,1.6083151999999998,0.3264887746105522,5
MergeSortParallel,MergeSort,PARALLEL,8,50000,RANDOM,2.4744882,0.42877425227466737,5
MergeSortParallel,MergeSort,PARALLEL,8,50000,REVERSED,1.3175868,0.44068410678704983,5
MergeSortParallel,MergeSort,PARALLEL,8,50000,SORTED,0.8281606,0.12105861591931401,5
MergeSortParallel,MergeSort,PARALLEL,8,100000,NEARLY_SORTED,2.2013648,0.42391167398964136,5
MergeSortParallel,MergeSort,PARALLEL,8,100000,RANDOM,4.4777656,0.475555780173893,5
MergeSortParallel,MergeSort,PARALLEL,8,100000,REVERSED,1.4397183999999998,0.08668793541375876,5
MergeSortParallel,MergeSort,PARALLEL,8,100000,SORTED,1.6789222,0.5766860275615319,5
MergeSortParallel,MergeSort,PARALLEL,8,500000,NEARLY_SORTED,7.6443028,1.9503089437196102,5
MergeSortParallel,MergeSort,PARALLEL,8,500000,RANDOM,18.0460626,2.9378950369829924,5
MergeSortParallel,MergeSort,PARALLEL,8,500000,REVERSED,5.716082,0.6812384604541938,5
MergeSortParallel,MergeSort,PARALLEL,8,500000,SORTED,5.9109752,1.5200798329062197,5
MergeSortParallel,MergeSort,PARALLEL,16,10000,NEARLY_SORTED,1.0667114,0.24162643159596595,5
MergeSortParallel,MergeSort,PARALLEL,16,10000,RANDOM,1.2345634,0.052185548366382006,5
MergeSortParallel,MergeSort,PARALLEL,16,10000,REVERSED,0.5562148,0.11097104103188363,5
MergeSortParallel,MergeSort,PARALLEL,16,10000,SORTED,0.4531932,0.01547781052668627,5
MergeSortParallel,MergeSort,PARALLEL,16,50000,NEARLY_SORTED,5.154947,7.0333214005362,5
MergeSortParallel,MergeSort,PARALLEL,16,50000,RANDOM,2.6671357999999996,0.4617626917207583,5
MergeSortParallel,MergeSort,PARALLEL,16,50000,REVERSED,1.3686064,0.43500094548609886,5
MergeSortParallel,MergeSort,PARALLEL,16,50000,SORTED,0.7984906,0.0518968233642484,5
MergeSortParallel,MergeSort,PARALLEL,16,100000,NEARLY_SORTED,2.45742,0.5233447667088112,5
MergeSortParallel,MergeSort,PARALLEL,16,100000,RANDOM,5.8134002,2.0698037515123744,5
MergeSortParallel,MergeSort,PARALLEL,16,100000,REVERSED,1.508823,0.392833959906727,5
MergeSortParallel,MergeSort,PARALLEL,16,100000,SORTED,1.9635418000000002,0.43704333813330226,5
MergeSortParallel,MergeSort,PARALLEL,16,500000,NEARLY_SORTED,6.889114599999999,1.9324784658236949,5
MergeSortParallel,MergeSort,PARALLEL,16,500000,RANDOM,17.439947999999998,4.085284090537707,5
MergeSortParallel,MergeSort,PARALLEL,16,500000,REVERSED,5.419942600000001,1.4694573403968896,5
MergeSortParallel,MergeSort,PARALLEL,16,500000,SORTED,6.0125746,1.203117644538679,5
MergeSortSerial,MergeSort,SERIAL,1,10000,NEARLY_SORTED,0.7455314,0.04194499543807348,5
MergeSortSerial,MergeSort,SERIAL,1,10000,RANDOM,1.1984166,0.8996655223780669,5
MergeSortSerial,MergeSort,SERIAL,1,10000,REVERSED,0.2891804,0.12031635609633462,5
MergeSortSerial,MergeSort,SERIAL,1,10000,SORTED,0.1966132,0.018603735436734197,5
MergeSortSerial,MergeSort,SERIAL,1,50000,NEARLY_SORTED,2.8601466,0.36028998685475555,5
MergeSortSerial,MergeSort,SERIAL,1,50000,RANDOM,5.939388599999999,1.78457886252844,5
MergeSortSerial,MergeSort,SERIAL,1,50000,REVERSED,2.4559781999999997,0.590018801037899,5
MergeSortSerial,MergeSort,SERIAL,1,50000,SORTED,1.215257,0.21442182415859626,5
MergeSortSerial,MergeSort,SERIAL,1,100000,NEARLY_SORTED,5.3020548000000005,0.6245283541230932,5
MergeSortSerial,MergeSort,SERIAL,1,100000,RANDOM,11.3354494,1.9591284585078388,5
MergeSortSerial,MergeSort,SERIAL,1,100000,REVERSED,2.8088851999999997,0.5138177530659094,5
MergeSortSerial,MergeSort,SERIAL,1,100000,SORTED,2.738219,0.26258686940991544,5
MergeSortSerial,MergeSort,SERIAL,1,500000,NEARLY_SORTED,15.867114599999999,1.473703436403098,5
MergeSortSerial,MergeSort,SERIAL,1,500000,RANDOM,54.0652544,1.5918986275018574,5
MergeSortSerial,MergeSort,SERIAL,1,500000,REVERSED,13.8362584,0.8521116472600875,5
MergeSortSerial,MergeSort,SERIAL,1,500000,SORTED,13.246366,0.9108173840875016,5
QuickSortParallel,QuickSort,PARALLEL,2,10000,NEARLY_SORTED,1.0976928,0.3494157388079421,5
QuickSortParallel,QuickSort,PARALLEL,2,10000,RANDOM,1.1393744,0.1525612102347775,5
